
 tracf=31	  fldr=2	    sx=2050	    gx=2075	offset=25	   cdp=33	

 tracf=33	  fldr=1	    sx=2000	    gx=2125	offset=125	   cdp=33	

 tracf=2	  fldr=17	    sx=2800	    gx=1375	offset=-1425	   cdp=34	

 tracf=4	  fldr=16	    sx=2750	    gx=1425	offset=-1325	   cdp=34	

 tracf=6	  fldr=15	    sx=2700	    gx=1475	offset=-1225	   cdp=34	

 tracf=8	  fldr=14	    sx=2650	    gx=1525	offset=-1125	   cdp=34	

 tracf=10	  fldr=13	    sx=2600	    gx=1575	offset=-1025	   cdp=34	

 tracf=12	  fldr=12	    sx=2550	    gx=1625	offset=-925	   cdp=34	

 tracf=14	  fldr=11	    sx=2500	    gx=1675	offset=-825	   cdp=34	

 tracf=16	  fldr=10	    sx=2450	    gx=1725	offset=-725	   cdp=34	

 tracf=18	  fldr=9	    sx=2400	    gx=1775	offset=-625	   cdp=34	

 tracf=20	  fldr=8	    sx=2350	    gx=1825	offset=-525	   cdp=34	

 tracf=22	  fldr=7	    sx=2300	    gx=1875	offset=-425	   cdp=34	

 tracf=24	  fldr=6	    sx=2250	    gx=1925	offset=-325	   cdp=34	

 tracf=26	  fldr=5	    sx=2200	    gx=1975	offset=-225	   cdp=34	

 tracf=28	  fldr=4	    sx=2150	    gx=2025	offset=-125	   cdp=34	

 tracf=30	  fldr=3	    sx=2100	    gx=2075	offset=-25	   cdp=34	

 tracf=32	  fldr=2	    sx=2050	    gx=2125	offset=75	   cdp=34	

 tracf=34	  fldr=1	    sx=2000	    gx=2175	offset=175	   cdp=34	

 tracf=1	  fldr=18	    sx=2850	    gx=1375	offset=-1475	   cdp=35	

 tracf=3	  fldr=17	    sx=2800	    gx=1425	offset=-1375	   cdp=35	

 tracf=5	  fldr=16	    sx=2750	    gx=1475	offset=-1275	   cdp=35	

 tracf=7	  fldr=15	    sx=2700	    gx=1525	offset=-1175	   cdp=35	

 tracf=9	  fldr=14	    sx=2650	    gx=1575	offset=-1075	   cdp=35	

 tracf=11	  fldr=13	    sx=2600	    gx=1625	offset=-975	   cdp=35	

 tracf=13	  fldr=12	    sx=2550	    gx=1675	offset=-875	   cdp=35	

 tracf=15	  fldr=11	    sx=2500	    gx=1725	offset=-775	   cdp=35	

 tracf=17	  fldr=10	    sx=2450	    gx=1775	offset=-675	   cdp=35	

 tracf=19	  fldr=9	    sx=2400	    gx=1825	offset=-575	   cdp=35	

 tracf=21	  fldr=8	    sx=2350	    gx=1875	offset=-475	   cdp=35	

 tracf=23	  fldr=7	    sx=2300	    gx=1925	offset=-375	   cdp=35	

 tracf=25	  fldr=6	    sx=2250	    gx=1975	offset=-275	   cdp=35	

 tracf=27	  fldr=5	    sx=2200	    gx=2025	offset=-175	   cdp=35	

 tracf=29	  fldr=4	    sx=2150	    gx=2075	offset=-75	   cdp=35	

 tracf=31	  fldr=3	    sx=2100	    gx=2125	offset=25	   cdp=35	

